id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments
1,Supplier A,Andersen,Elizabeth A.,,Sales Manager,,,,,,,,,,,,b''
2,Supplier B,Weiler,Cornelia,,Sales Manager,,,,,,,,,,,,b''
3,Supplier C,Kelley,Madeleine,,Sales Representative,,,,,,,,,,,,b''
4,Supplier D,Sato,Naoki,,Marketing Manager,,,,,,,,,,,,b''
5,Supplier E,Hernandez-Echevarria,Amaya,,Sales Manager,,,,,,,,,,,,b''
6,Supplier F,Hayakawa,Satomi,,Marketing Assistant,,,,,,,,,,,,b''
7,Supplier G,Glasson,Stuart,,Marketing Manager,,,,,,,,,,,,b''
8,Supplier H,Dunton,Bryn Paul,,Sales Representative,,,,,,,,,,,,b''
9,Supplier I,Sandberg,Mikael,,Sales Manager,,,,,,,,,,,,b''
10,Supplier J,Sousa,Luis,,Sales Manager,,,,,,,,,,,,b''
