sk_customer,customer_id,company_name,full_name,email_address,job_title,city,state_province,country_region,zip_postal_code,geography
1,1,Company A,Anna Bedecs,companya@gmail.com,Owner,Seattle,WA,USA,99999,"Seattle, WA, USA"
2,2,Company B,Antonio Gratacos Solsona,companyb@gmail.com,Owner,Boston,MA,USA,99999,"Boston, MA, USA"
3,3,Company C,Thomas Axen,companyc@gmail.com,Purchasing Representative,Los Angelas,CA,USA,99999,"Los Angelas, CA, USA"
4,4,Company D,Christina Lee,companyd@gmail.com,Purchasing Manager,New York,NY,USA,99999,"New York, NY, USA"
5,5,Company E,Martin O’Donnell,companye@gmail.com,Owner,Minneapolis,MN,USA,99999,"Minneapolis, MN, USA"
6,6,Company F,Francisco Pérez-Olaeta,companyf@gmail.com,Purchasing Manager,Milwaukee,WI,USA,99999,"Milwaukee, WI, USA"
7,7,Company G,Ming-Yang Xie,companyg@gmail.com,Owner,Boise,ID,USA,99999,"Boise, ID, USA"
8,8,Company H,Elizabeth Andersen,companyh@gmail.com,Purchasing Representative,Portland,OR,USA,99999,"Portland, OR, USA"
9,9,Company I,Sven Mortensen,companyi@gmail.com,Purchasing Manager,Salt Lake City,UT,USA,99999,"Salt Lake City, UT, USA"
10,10,Company J,Roland Wacker,companyj@gmail.com,Purchasing Manager,Chicago,IL,USA,99999,"Chicago, IL, USA"
11,11,Company K,Peter Krschne,companyk@gmail.com,Purchasing Manager,Miami,FL,USA,99999,"Miami, FL, USA"
12,12,Company L,John Edwards,companyl@gmail.com,Purchasing Manager,Las Vegas,NV,USA,99999,"Las Vegas, NV, USA"
13,13,Company M,Andre Ludick,companym@gmail.com,Purchasing Representative,Memphis,TN,USA,99999,"Memphis, TN, USA"
14,14,Company N,Carlos Grilo,companyn@gmail.com,Purchasing Representative,Denver,CO,USA,99999,"Denver, CO, USA"
15,15,Company O,Helena Kupkova,companyo@gmail.com,Purchasing Manager,Honolulu,HI,USA,99999,"Honolulu, HI, USA"
16,16,Company P,Daniel Goldschmidt,companyp@gmail.com,Purchasing Representative,San Francisco,CA,USA,99999,"San Francisco, CA, USA"
17,17,Company Q,Jean Philippe Bagel,companyq@gmail.com,Owner,Seattle,WA,USA,99999,"Seattle, WA, USA"
18,18,Company R,Catherine Autier Miconi,companyr@gmail.com,Purchasing Representative,Boston,MA,USA,99999,"Boston, MA, USA"
19,19,Company S,Alexander Eggerer,companys@gmail.com,Accounting Assistant,Los Angelas,CA,USA,99999,"Los Angelas, CA, USA"
20,20,Company T,George Li,companyt@gmail.com,Purchasing Manager,New York,NY,USA,99999,"New York, NY, USA"
21,21,Company U,Bernard Tham,companyu@gmail.com,Accounting Manager,Minneapolis,MN,USA,99999,"Minneapolis, MN, USA"
22,22,Company V,Luciana Ramos,companyv@gmail.com,Purchasing Assistant,Milwaukee,WI,USA,99999,"Milwaukee, WI, USA"
23,23,Company W,Michael Entin,companyw@gmail.com,Purchasing Manager,Portland,OR,USA,99999,"Portland, OR, USA"
24,24,Company X,Jonas Hasselberg,companyx@gmail.com,Owner,Salt Lake City,UT,USA,99999,"Salt Lake City, UT, USA"
25,25,Company Y,John Rodman,companyy@gmail.com,Purchasing Manager,Chicago,IL,USA,99999,"Chicago, IL, USA"
26,26,Company Z,Run Liu,companyz@gmail.com,Accounting Assistant,Miami,FL,USA,99999,"Miami, FL, USA"
27,27,Company AA,Karen Toh,companyaa@gmail.com,Purchasing Manager,Las Vegas,NV,USA,99999,"Las Vegas, NV, USA"
28,28,Company BB,Amritansh Raghav,companybb@gmail.com,Purchasing Manager,Memphis,TN,USA,99999,"Memphis, TN, USA"
29,29,Company CC,Soo Jung Lee,companycc@gmail.com,Purchasing Manager,Denver,CO,USA,99999,"Denver, CO, USA"
